Unnamed: 0,CTUID,DGUID,CTNAME,LANDAREA,PRUID,total_hospitals_within_30_mins_before,total_hospitals_within_30_mins_after,total_hospitals_within_30_mins_diff
111,5350126.00,2021S05075350126.00,126.0,1.4493,35,0.0,0.0,0.0
112,5350127.00,2021S05075350127.00,127.0,0.7405,35,4.0,6.0,2.0
113,5350129.00,2021S05075350129.00,129.0,0.9274,35,2.0,3.0,1.0
114,5350130.00,2021S05075350130.00,130.0,1.279,35,0.0,0.0,0.0
115,5350131.00,2021S05075350131.00,131.0,1.0444,35,1.0,2.0,1.0
116,5350132.00,2021S05075350132.00,132.0,0.9246,35,0.0,0.0,0.0
117,5350133.00,2021S05075350133.00,133.0,0.6675,35,1.0,3.0,2.0
118,5350134.00,2021S05075350134.00,134.0,0.417,35,0.0,0.0,0.0
119,5350135.00,2021S05075350135.00,135.0,0.7162,35,0.0,0.0,0.0
120,5350137.00,2021S05075350137.00,137.0,0.9142,35,0.0,0.0,0.0
121,5350138.00,2021S05075350138.00,138.0,0.9655,35,1.0,2.0,1.0
122,5350140.00,2021S05075350140.00,140.0,0.572,35,0.0,0.0,0.0
123,5350142.00,2021S05075350142.00,142.0,1.0439,35,1.0,2.0,1.0
124,5350150.00,2021S05075350150.00,150.0,1.071,35,1.0,4.0,3.0
125,5350151.00,2021S05075350151.00,151.0,0.6388,35,1.0,4.0,3.0
126,5350152.00,2021S05075350152.00,152.0,0.8517,35,1.0,4.0,3.0
127,5350153.00,2021S05075350153.00,153.0,0.9311,35,2.0,3.0,1.0
128,5350154.00,2021S05075350154.00,154.0,2.0905,35,1.0,4.0,3.0
129,5350155.00,2021S05075350155.00,155.0,0.8071,35,0.0,0.0,0.0
130,5350157.00,2021S05075350157.00,157.0,0.4606,35,3.0,4.0,1.0
131,5350158.00,2021S05075350158.00,158.0,0.6353,35,1.0,4.0,3.0
132,5350160.00,2021S05075350160.00,160.0,0.7312,35,0.0,0.0,0.0
133,5350161.00,2021S05075350161.00,161.0,0.8113,35,0.0,0.0,0.0
134,5350162.00,2021S05075350162.00,162.0,0.5757,35,1.0,4.0,3.0
135,5350163.00,2021S05075350163.00,163.0,0.4542,35,0.0,0.0,0.0
136,5350164.00,2021S05075350164.00,164.0,0.6282,35,1.0,2.0,1.0
137,5350165.00,2021S05075350165.00,165.0,0.4849,35,1.0,4.0,3.0
138,5350166.00,2021S05075350166.00,166.0,0.786,35,1.0,2.0,1.0
139,5350168.00,2021S05075350168.00,168.0,0.5655,35,1.0,4.0,3.0
140,5350170.00,2021S05075350170.00,170.0,1.0124,35,1.0,2.0,1.0
141,5350171.00,2021S05075350171.00,171.0,0.61,35,1.0,3.0,2.0
142,5350172.00,2021S05075350172.00,172.0,1.207,35,1.0,2.0,1.0
143,5350173.00,2021S05075350173.00,173.0,0.5942,35,1.0,2.0,1.0
144,5350174.00,2021S05075350174.00,174.0,1.0531,35,1.0,4.0,3.0
145,5350176.00,2021S05075350176.00,176.0,1.0009,35,0.0,0.0,0.0
146,5350180.00,2021S05075350180.00,180.0,0.6138,35,1.0,4.0,3.0
147,5350182.00,2021S05075350182.00,182.0,0.7605,35,1.0,3.0,2.0
148,5350186.00,2021S05075350186.00,186.0,1.8682,35,0.0,0.0,0.0
149,5350187.00,2021S05075350187.00,187.0,1.1945,35,1.0,3.0,2.0
150,5350188.00,2021S05075350188.00,188.0,0.552,35,1.0,2.0,1.0
151,5350189.00,2021S05075350189.00,189.0,1.2261,35,0.0,0.0,0.0
152,5350191.00,2021S05075350191.00,191.0,0.823,35,0.0,0.0,0.0
153,5350192.00,2021S05075350192.00,192.0,0.9181,35,1.0,3.0,2.0
