CTUID,Neighbourhood,Before_After_Difference,Value
5350034.01,Downtown Yonge East,travel_time_to_first_dest_reduction,0.0
5350034.02,Downtown Yonge East,travel_time_to_first_dest_before,6.0
5350034.02,Downtown Yonge East,travel_time_to_first_dest_after,6.0
5350034.02,Downtown Yonge East,travel_time_to_first_dest_reduction,0.0
5350035.0,Yonge-Bay Corridor,travel_time_to_first_dest_before,7.0
5350035.0,Yonge-Bay Corridor,travel_time_to_first_dest_after,7.0
5350035.0,Yonge-Bay Corridor,travel_time_to_first_dest_reduction,0.0
5350036.0,Kensington-Chinatown,travel_time_to_first_dest_before,13.0
5350036.0,Kensington-Chinatown,travel_time_to_first_dest_after,13.0
5350036.0,Kensington-Chinatown,travel_time_to_first_dest_reduction,0.0
5350037.0,Kensington-Chinatown,travel_time_to_first_dest_before,7.0
5350037.0,Kensington-Chinatown,travel_time_to_first_dest_after,7.0
5350037.0,Kensington-Chinatown,travel_time_to_first_dest_reduction,0.0
5350038.0,Kensington-Chinatown,travel_time_to_first_dest_before,7.0
5350038.0,Kensington-Chinatown,travel_time_to_first_dest_after,7.0
5350038.0,Kensington-Chinatown,travel_time_to_first_dest_reduction,0.0
5350039.0,Kensington-Chinatown,travel_time_to_first_dest_before,12.0
5350039.0,Kensington-Chinatown,travel_time_to_first_dest_after,12.0
5350039.0,Kensington-Chinatown,travel_time_to_first_dest_reduction,0.0
5350040.0,Trinity-Bellwoods,travel_time_to_first_dest_before,12.0
5350040.0,Trinity-Bellwoods,travel_time_to_first_dest_after,12.0
5350040.0,Trinity-Bellwoods,travel_time_to_first_dest_reduction,0.0
5350041.0,Trinity-Bellwoods,travel_time_to_first_dest_before,11.0
5350041.0,Trinity-Bellwoods,travel_time_to_first_dest_after,11.0
5350041.0,Trinity-Bellwoods,travel_time_to_first_dest_reduction,0.0
5350042.0,Trinity-Bellwoods,travel_time_to_first_dest_before,15.0
5350042.0,Trinity-Bellwoods,travel_time_to_first_dest_after,15.0
5350042.0,Trinity-Bellwoods,travel_time_to_first_dest_reduction,0.0
5350043.0,Trinity-Bellwoods,travel_time_to_first_dest_before,7.0
5350043.0,Trinity-Bellwoods,travel_time_to_first_dest_after,7.0
5350043.0,Trinity-Bellwoods,travel_time_to_first_dest_reduction,0.0
5350044.01,Little Portugal,travel_time_to_first_dest_before,16.0
5350044.01,Little Portugal,travel_time_to_first_dest_after,16.0
5350044.01,Little Portugal,travel_time_to_first_dest_reduction,0.0
5350044.02,Little Portugal,travel_time_to_first_dest_before,11.0
5350044.02,Little Portugal,travel_time_to_first_dest_after,11.0
5350044.02,Little Portugal,travel_time_to_first_dest_reduction,0.0
5350045.0,Little Portugal,travel_time_to_first_dest_before,19.0
5350045.0,Little Portugal,travel_time_to_first_dest_after,19.0
5350045.0,Little Portugal,travel_time_to_first_dest_reduction,0.0
5350046.0,Little Portugal,travel_time_to_first_dest_before,22.0
5350046.0,Little Portugal,travel_time_to_first_dest_after,22.0
5350046.0,Little Portugal,travel_time_to_first_dest_reduction,0.0
5350047.02,Roncesvalles,travel_time_to_first_dest_before,17.0
5350047.02,Roncesvalles,travel_time_to_first_dest_after,17.0
5350047.02,Roncesvalles,travel_time_to_first_dest_reduction,0.0
5350047.03,Roncesvalles,travel_time_to_first_dest_before,27.0
5350047.03,Roncesvalles,travel_time_to_first_dest_after,27.0
5350047.03,Roncesvalles,travel_time_to_first_dest_reduction,0.0
5350047.04,Roncesvalles,travel_time_to_first_dest_before,18.0
5350047.04,Roncesvalles,travel_time_to_first_dest_after,18.0
5350047.04,Roncesvalles,travel_time_to_first_dest_reduction,0.0
5350048.0,Roncesvalles,travel_time_to_first_dest_before,11.0
5350048.0,Roncesvalles,travel_time_to_first_dest_after,11.0
5350048.0,Roncesvalles,travel_time_to_first_dest_reduction,0.0
5350049.0,High Park-Swansea,travel_time_to_first_dest_before,7.0
5350049.0,High Park-Swansea,travel_time_to_first_dest_after,7.0
5350049.0,High Park-Swansea,travel_time_to_first_dest_reduction,0.0
5350050.01,High Park-Swansea,travel_time_to_first_dest_before,32.0
5350050.01,High Park-Swansea,travel_time_to_first_dest_after,32.0
5350050.01,High Park-Swansea,travel_time_to_first_dest_reduction,0.0
5350050.03,High Park-Swansea,travel_time_to_first_dest_before,26.0
5350050.03,High Park-Swansea,travel_time_to_first_dest_after,26.0
5350050.03,High Park-Swansea,travel_time_to_first_dest_reduction,0.0
5350050.04,High Park-Swansea,travel_time_to_first_dest_before,24.0
5350050.04,High Park-Swansea,travel_time_to_first_dest_after,24.0
5350050.04,High Park-Swansea,travel_time_to_first_dest_reduction,0.0
5350051.0,High Park-Swansea,travel_time_to_first_dest_before,22.0
5350051.0,High Park-Swansea,travel_time_to_first_dest_after,22.0
5350051.0,High Park-Swansea,travel_time_to_first_dest_reduction,0.0
5350052.0,Roncesvalles,travel_time_to_first_dest_before,22.0
5350052.0,Roncesvalles,travel_time_to_first_dest_after,22.0
5350052.0,Roncesvalles,travel_time_to_first_dest_reduction,0.0
5350053.0,Dufferin Grove,travel_time_to_first_dest_before,25.0
5350053.0,Dufferin Grove,travel_time_to_first_dest_after,25.0
5350053.0,Dufferin Grove,travel_time_to_first_dest_reduction,0.0
5350054.0,Dufferin Grove,travel_time_to_first_dest_before,23.0
5350054.0,Dufferin Grove,travel_time_to_first_dest_after,23.0
5350054.0,Dufferin Grove,travel_time_to_first_dest_reduction,0.0
5350055.0,Palmerston-Little Italy,travel_time_to_first_dest_before,22.0
5350055.0,Palmerston-Little Italy,travel_time_to_first_dest_after,22.0
5350055.0,Palmerston-Little Italy,travel_time_to_first_dest_reduction,0.0
5350056.0,Palmerston-Little Italy,travel_time_to_first_dest_before,20.0
5350056.0,Palmerston-Little Italy,travel_time_to_first_dest_after,20.0
5350056.0,Palmerston-Little Italy,travel_time_to_first_dest_reduction,0.0
5350057.0,Palmerston-Little Italy,travel_time_to_first_dest_before,22.0
5350057.0,Palmerston-Little Italy,travel_time_to_first_dest_after,22.0
5350057.0,Palmerston-Little Italy,travel_time_to_first_dest_reduction,0.0
5350058.0,Palmerston-Little Italy,travel_time_to_first_dest_before,18.0
5350058.0,Palmerston-Little Italy,travel_time_to_first_dest_after,18.0
5350058.0,Palmerston-Little Italy,travel_time_to_first_dest_reduction,0.0
5350059.0,University,travel_time_to_first_dest_before,12.0
5350059.0,University,travel_time_to_first_dest_after,12.0
5350059.0,University,travel_time_to_first_dest_reduction,0.0
5350060.0,University,travel_time_to_first_dest_before,15.0
5350060.0,University,travel_time_to_first_dest_after,15.0
5350060.0,University,travel_time_to_first_dest_reduction,0.0
5350061.0,University,travel_time_to_first_dest_before,14.0
5350061.0,University,travel_time_to_first_dest_after,14.0
5350061.0,University,travel_time_to_first_dest_reduction,0.0
5350062.01,Bay-Cloverhill,travel_time_to_first_dest_before,11.0
