CTUID,Job_type,Time,Num_jobs
5350173.00,Manufacturing and Warehousing,before,3540.0
5350174.00,Manufacturing and Warehousing,before,1634.0
5350175.01,Manufacturing and Warehousing,before,2221.0
5350175.02,Manufacturing and Warehousing,before,873.0
5350176.00,Manufacturing and Warehousing,before,374.0
5350180.00,Manufacturing and Warehousing,before,132.0
5350181.01,Manufacturing and Warehousing,before,30.0
5350181.02,Manufacturing and Warehousing,before,1613.0
5350182.00,Manufacturing and Warehousing,before,1624.0
5350183.01,Manufacturing and Warehousing,before,45.0
5350183.02,Manufacturing and Warehousing,before,36.0
5350184.01,Manufacturing and Warehousing,before,188.0
5350184.02,Manufacturing and Warehousing,before,206.0
5350185.01,Manufacturing and Warehousing,before,211.0
5350185.02,Manufacturing and Warehousing,before,212.0
5350187.00,Manufacturing and Warehousing,before,1589.0
5350188.00,Manufacturing and Warehousing,before,2377.0
5350189.00,Manufacturing and Warehousing,before,1620.0
5350190.01,Manufacturing and Warehousing,before,48.0
5350190.02,Manufacturing and Warehousing,before,1584.0
5350191.00,Manufacturing and Warehousing,before,2424.0
5350192.00,Manufacturing and Warehousing,before,1968.0
5350193.00,Manufacturing and Warehousing,before,1572.0
5350194.01,Manufacturing and Warehousing,before,153.0
5350194.02,Manufacturing and Warehousing,before,346.0
5350194.03,Manufacturing and Warehousing,before,191.0
5350194.04,Manufacturing and Warehousing,before,2.0
5350195.01,Manufacturing and Warehousing,before,2207.0
5350195.02,Manufacturing and Warehousing,before,1915.0
5350196.01,Manufacturing and Warehousing,before,353.0
5350196.02,Manufacturing and Warehousing,before,22.0
5350200.01,Manufacturing and Warehousing,before,145.0
5350200.02,Manufacturing and Warehousing,before,955.0
5350201.00,Manufacturing and Warehousing,before,465.0
5350202.00,Manufacturing and Warehousing,before,940.0
5350203.00,Manufacturing and Warehousing,before,853.0
5350204.00,Manufacturing and Warehousing,before,565.0
5350205.00,Manufacturing and Warehousing,before,568.0
5350206.01,Manufacturing and Warehousing,before,2475.0
5350206.02,Manufacturing and Warehousing,before,3006.0
5350207.00,Manufacturing and Warehousing,before,8092.0
5350208.00,Manufacturing and Warehousing,before,2930.0
5350209.00,Manufacturing and Warehousing,before,3318.0
5350210.01,Manufacturing and Warehousing,before,838.0
5350210.03,Manufacturing and Warehousing,before,511.0
5350210.04,Manufacturing and Warehousing,before,100.0
5350211.00,Manufacturing and Warehousing,before,124.0
5350212.00,Manufacturing and Warehousing,before,2499.0
5350213.01,Manufacturing and Warehousing,before,5754.0
5350213.02,Manufacturing and Warehousing,before,0.0
5350214.00,Manufacturing and Warehousing,before,447.0
5350215.00,Manufacturing and Warehousing,before,2794.0
5350216.00,Manufacturing and Warehousing,before,359.0
5350217.00,Manufacturing and Warehousing,before,15.0
5350218.00,Manufacturing and Warehousing,before,537.0
5350219.00,Manufacturing and Warehousing,before,3421.0
5350220.00,Manufacturing and Warehousing,before,0.0
5350221.01,Manufacturing and Warehousing,before,0.0
5350221.02,Manufacturing and Warehousing,before,10.0
5350222.01,Manufacturing and Warehousing,before,9.0
5350222.02,Manufacturing and Warehousing,before,9.0
5350223.01,Manufacturing and Warehousing,before,9.0
5350223.02,Manufacturing and Warehousing,before,9.0
5350224.00,Manufacturing and Warehousing,before,9.0
5350225.01,Manufacturing and Warehousing,before,0.0
5350225.02,Manufacturing and Warehousing,before,20.0
5350226.00,Manufacturing and Warehousing,before,20.0
5350227.00,Manufacturing and Warehousing,before,492.0
5350228.00,Manufacturing and Warehousing,before,0.0
5350229.00,Manufacturing and Warehousing,before,0.0
5350230.01,Manufacturing and Warehousing,before,11.0
5350230.02,Manufacturing and Warehousing,before,1.0
5350231.00,Manufacturing and Warehousing,before,11.0
5350232.00,Manufacturing and Warehousing,before,9.0
5350233.00,Manufacturing and Warehousing,before,56.0
5350234.00,Manufacturing and Warehousing,before,0.0
5350235.01,Manufacturing and Warehousing,before,1.0
5350235.02,Manufacturing and Warehousing,before,1.0
5350236.01,Manufacturing and Warehousing,before,0.0
5350237.01,Manufacturing and Warehousing,before,0.0
5350237.02,Manufacturing and Warehousing,before,0.0
5350237.03,Manufacturing and Warehousing,before,46.0
5350238.01,Manufacturing and Warehousing,before,46.0
5350238.02,Manufacturing and Warehousing,before,46.0
5350239.00,Manufacturing and Warehousing,before,25.0
5350240.01,Manufacturing and Warehousing,before,1.0
5350240.02,Manufacturing and Warehousing,before,1.0
5350241.00,Manufacturing and Warehousing,before,150.0
5350242.00,Manufacturing and Warehousing,before,932.0
5350243.01,Manufacturing and Warehousing,before,45.0
5350243.02,Manufacturing and Warehousing,before,0.0
5350244.02,Manufacturing and Warehousing,before,54.0
5350245.00,Manufacturing and Warehousing,before,41.0
5350246.00,Manufacturing and Warehousing,before,1476.0
5350247.02,Manufacturing and Warehousing,before,9.0
5350248.02,Manufacturing and Warehousing,before,1473.0
5350248.03,Manufacturing and Warehousing,before,2861.0
5350248.04,Manufacturing and Warehousing,before,8210.0
5350248.05,Manufacturing and Warehousing,before,1466.0
5350249.01,Manufacturing and Warehousing,before,2.0
5350249.03,Manufacturing and Warehousing,before,5344.0
5350249.04,Manufacturing and Warehousing,before,2.0
5350249.05,Manufacturing and Warehousing,before,1471.0
5350250.01,Manufacturing and Warehousing,before,2.0
5350250.02,Manufacturing and Warehousing,before,0.0
5350250.04,Manufacturing and Warehousing,before,2.0
5350250.05,Manufacturing and Warehousing,before,2.0
5350260.01,Manufacturing and Warehousing,before,488.0
5350260.04,Manufacturing and Warehousing,before,883.0
5350260.05,Manufacturing and Warehousing,before,488.0
5350260.06,Manufacturing and Warehousing,before,1170.0
5350260.07,Manufacturing and Warehousing,before,0.0
5350261.00,Manufacturing and Warehousing,before,2692.0
5350262.01,Manufacturing and Warehousing,before,3428.0
5350262.02,Manufacturing and Warehousing,before,741.0
5350263.02,Manufacturing and Warehousing,before,29.0
5350263.03,Manufacturing and Warehousing,before,575.0
5350263.04,Manufacturing and Warehousing,before,1603.0
5350265.00,Manufacturing and Warehousing,before,19.0
5350268.00,Manufacturing and Warehousing,before,330.0
5350269.01,Manufacturing and Warehousing,before,572.0
5350269.02,Manufacturing and Warehousing,before,0.0
5350270.01,Manufacturing and Warehousing,before,0.0
5350270.02,Manufacturing and Warehousing,before,0.0
5350271.01,Manufacturing and Warehousing,before,3648.0
5350271.02,Manufacturing and Warehousing,before,0.0
5350272.01,Manufacturing and Warehousing,before,9465.0
5350272.02,Manufacturing and Warehousing,before,0.0
5350273.01,Manufacturing and Warehousing,before,0.0
5350273.02,Manufacturing and Warehousing,before,450.0
