CTUID,Neighbourhoods,Metric_Type,Metric_Name,Category,Before_After_Benefit,Value
5350052.00,Roncesvalles,Social,Number of Destinations within 30 mins,Hospital,before,4.0
5350052.00,Roncesvalles,Social,Number of Destinations within 30 mins,Hospital,after,4.0
5350052.00,Roncesvalles,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350053.00,Dufferin Grove,Social,Number of Destinations within 30 mins,Hospital,before,4.0
5350053.00,Dufferin Grove,Social,Number of Destinations within 30 mins,Hospital,after,7.0
5350053.00,Dufferin Grove,Social,Number of Destinations within 30 mins,Hospital,benefit,3.0
5350054.00,Dufferin Grove,Social,Number of Destinations within 30 mins,Hospital,before,4.0
5350054.00,Dufferin Grove,Social,Number of Destinations within 30 mins,Hospital,after,9.0
5350054.00,Dufferin Grove,Social,Number of Destinations within 30 mins,Hospital,benefit,5.0
5350055.00,Palmerston-Little Italy,Social,Number of Destinations within 30 mins,Hospital,before,2.0
5350055.00,Palmerston-Little Italy,Social,Number of Destinations within 30 mins,Hospital,after,4.0
5350055.00,Palmerston-Little Italy,Social,Number of Destinations within 30 mins,Hospital,benefit,2.0
5350056.00,Palmerston-Little Italy,Social,Number of Destinations within 30 mins,Hospital,before,5.0
5350056.00,Palmerston-Little Italy,Social,Number of Destinations within 30 mins,Hospital,after,8.0
5350056.00,Palmerston-Little Italy,Social,Number of Destinations within 30 mins,Hospital,benefit,3.0
5350057.00,Palmerston-Little Italy,Social,Number of Destinations within 30 mins,Hospital,before,3.0
5350057.00,Palmerston-Little Italy,Social,Number of Destinations within 30 mins,Hospital,after,11.0
5350057.00,Palmerston-Little Italy,Social,Number of Destinations within 30 mins,Hospital,benefit,8.0
5350058.00,Palmerston-Little Italy,Social,Number of Destinations within 30 mins,Hospital,before,9.0
5350058.00,Palmerston-Little Italy,Social,Number of Destinations within 30 mins,Hospital,after,9.0
5350058.00,Palmerston-Little Italy,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350059.00,University,Social,Number of Destinations within 30 mins,Hospital,before,11.0
5350059.00,University,Social,Number of Destinations within 30 mins,Hospital,after,12.0
5350059.00,University,Social,Number of Destinations within 30 mins,Hospital,benefit,1.0
5350060.00,University,Social,Number of Destinations within 30 mins,Hospital,before,10.0
5350060.00,University,Social,Number of Destinations within 30 mins,Hospital,after,11.0
5350060.00,University,Social,Number of Destinations within 30 mins,Hospital,benefit,1.0
5350061.00,University,Social,Number of Destinations within 30 mins,Hospital,before,11.0
5350061.00,University,Social,Number of Destinations within 30 mins,Hospital,after,11.0
5350061.00,University,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350062.01,Bay-Cloverhill,Social,Number of Destinations within 30 mins,Hospital,before,10.0
5350062.01,Bay-Cloverhill,Social,Number of Destinations within 30 mins,Hospital,after,10.0
5350062.01,Bay-Cloverhill,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350062.03,Bay-Cloverhill,Social,Number of Destinations within 30 mins,Hospital,before,11.0
5350062.03,Bay-Cloverhill,Social,Number of Destinations within 30 mins,Hospital,after,11.0
5350062.03,Bay-Cloverhill,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350062.04,Bay-Cloverhill,Social,Number of Destinations within 30 mins,Hospital,before,12.0
5350062.04,Bay-Cloverhill,Social,Number of Destinations within 30 mins,Hospital,after,12.0
5350062.04,Bay-Cloverhill,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
5350063.03,Church-Wellesley,Social,Number of Destinations within 30 mins,Hospital,before,9.0
5350063.03,Church-Wellesley,Social,Number of Destinations within 30 mins,Hospital,after,9.0
5350063.03,Church-Wellesley,Social,Number of Destinations within 30 mins,Hospital,benefit,0.0
