CTUID,Neighbourhood,Timeframe,Total Destinations
5350011.03,Wellington Place,first_destination_travel_time_after,12
5350011.03,Wellington Place,first_destination_travel_time_before,16
5350011.03,Wellington Place,first_destination_travel_time_diff,0
5350012.01,Harbourfront-CityPlace,first_destination_travel_time_after,2
5350012.01,Harbourfront-CityPlace,first_destination_travel_time_before,5
5350012.01,Harbourfront-CityPlace,first_destination_travel_time_diff,0
5350012.03,Harbourfront-CityPlace,first_destination_travel_time_after,9
5350012.03,Harbourfront-CityPlace,first_destination_travel_time_before,19
5350012.03,Harbourfront-CityPlace,first_destination_travel_time_diff,0
5350012.04,Harbourfront-CityPlace,first_destination_travel_time_after,10
5350012.04,Harbourfront-CityPlace,first_destination_travel_time_before,12
5350012.04,Harbourfront-CityPlace,first_destination_travel_time_diff,0
5350013.01,St Lawrence-East Bayfront-The Islands,first_destination_travel_time_after,10
5350013.01,St Lawrence-East Bayfront-The Islands,first_destination_travel_time_before,20
5350013.01,St Lawrence-East Bayfront-The Islands,first_destination_travel_time_diff,0
5350013.02,St Lawrence-East Bayfront-The Islands,first_destination_travel_time_after,9
5350013.02,St Lawrence-East Bayfront-The Islands,first_destination_travel_time_before,10
5350013.02,St Lawrence-East Bayfront-The Islands,first_destination_travel_time_diff,0
5350014.00,Yonge-Bay Corridor,first_destination_travel_time_after,11
5350014.00,Yonge-Bay Corridor,first_destination_travel_time_before,14
5350014.00,Yonge-Bay Corridor,first_destination_travel_time_diff,0
5350015.00,Downtown Yonge East,first_destination_travel_time_after,11
5350015.00,Downtown Yonge East,first_destination_travel_time_before,12
5350015.00,Downtown Yonge East,first_destination_travel_time_diff,0
5350016.00,Moss Park,first_destination_travel_time_after,5
5350016.00,Moss Park,first_destination_travel_time_before,10
5350016.00,Moss Park,first_destination_travel_time_diff,0
5350017.01,St Lawrence-East Bayfront-The Islands,first_destination_travel_time_after,1
5350017.01,St Lawrence-East Bayfront-The Islands,first_destination_travel_time_before,3
5350017.01,St Lawrence-East Bayfront-The Islands,first_destination_travel_time_diff,0
5350017.02,St Lawrence-East Bayfront-The Islands,first_destination_travel_time_after,2
5350017.02,St Lawrence-East Bayfront-The Islands,first_destination_travel_time_before,7
5350017.02,St Lawrence-East Bayfront-The Islands,first_destination_travel_time_diff,0
5350018.00,South Riverdale,first_destination_travel_time_after,1
5350018.00,South Riverdale,first_destination_travel_time_before,9
5350018.00,South Riverdale,first_destination_travel_time_diff,0
5350019.00,South Riverdale,first_destination_travel_time_after,1
5350019.00,South Riverdale,first_destination_travel_time_before,8
5350019.00,South Riverdale,first_destination_travel_time_diff,0
5350020.00,The Beaches,first_destination_travel_time_after,0
5350020.00,The Beaches,first_destination_travel_time_before,4
5350020.00,The Beaches,first_destination_travel_time_diff,0
5350021.00,The Beaches,first_destination_travel_time_after,0
5350021.00,The Beaches,first_destination_travel_time_before,4
5350021.00,The Beaches,first_destination_travel_time_diff,0
5350022.00,The Beaches,first_destination_travel_time_after,0
5350022.00,The Beaches,first_destination_travel_time_before,7
5350022.00,The Beaches,first_destination_travel_time_diff,0
5350023.00,The Beaches,first_destination_travel_time_after,0
5350023.00,The Beaches,first_destination_travel_time_before,5
5350023.00,The Beaches,first_destination_travel_time_diff,0
5350024.00,The Beaches,first_destination_travel_time_after,0
5350024.00,The Beaches,first_destination_travel_time_before,1
5350024.00,The Beaches,first_destination_travel_time_diff,0
5350025.00,Woodbine Corridor,first_destination_travel_time_after,0
5350025.00,Woodbine Corridor,first_destination_travel_time_before,6
5350025.00,Woodbine Corridor,first_destination_travel_time_diff,0
5350026.00,Greenwood-Coxwell,first_destination_travel_time_after,1
5350026.00,Greenwood-Coxwell,first_destination_travel_time_before,4
5350026.00,Greenwood-Coxwell,first_destination_travel_time_diff,0
5350027.00,South Riverdale,first_destination_travel_time_after,1
5350027.00,South Riverdale,first_destination_travel_time_before,6
5350027.00,South Riverdale,first_destination_travel_time_diff,0
5350028.01,South Riverdale,first_destination_travel_time_after,1
5350028.01,South Riverdale,first_destination_travel_time_before,9
5350028.01,South Riverdale,first_destination_travel_time_diff,0
5350028.02,South Riverdale,first_destination_travel_time_after,1
5350028.02,South Riverdale,first_destination_travel_time_before,7
5350028.02,South Riverdale,first_destination_travel_time_diff,0
5350029.00,South Riverdale,first_destination_travel_time_after,2
5350029.00,South Riverdale,first_destination_travel_time_before,6
5350029.00,South Riverdale,first_destination_travel_time_diff,0
5350030.00,Regent Park,first_destination_travel_time_after,3
5350030.00,Regent Park,first_destination_travel_time_before,4
5350030.00,Regent Park,first_destination_travel_time_diff,0
5350031.00,Regent Park,first_destination_travel_time_after,10
5350031.00,Regent Park,first_destination_travel_time_before,15
5350031.00,Regent Park,first_destination_travel_time_diff,0
5350032.00,Moss Park,first_destination_travel_time_after,11
5350032.00,Moss Park,first_destination_travel_time_before,16
5350032.00,Moss Park,first_destination_travel_time_diff,0
5350033.00,Moss Park,first_destination_travel_time_after,8
5350033.00,Moss Park,first_destination_travel_time_before,15
5350033.00,Moss Park,first_destination_travel_time_diff,0
5350034.01,Downtown Yonge East,first_destination_travel_time_after,11
5350034.01,Downtown Yonge East,first_destination_travel_time_before,15
5350034.01,Downtown Yonge East,first_destination_travel_time_diff,0
5350034.02,Downtown Yonge East,first_destination_travel_time_after,12
5350034.02,Downtown Yonge East,first_destination_travel_time_before,15
5350034.02,Downtown Yonge East,first_destination_travel_time_diff,0
5350035.00,Yonge-Bay Corridor,first_destination_travel_time_after,11
5350035.00,Yonge-Bay Corridor,first_destination_travel_time_before,13
