CTUID,Neighbourhood,total_destinations_within_30_mins_before,total_destinations_within_30_mins_after,total_destinations_within_30_mins_diff
5350013.02,St Lawrence-East Bayfront-The Islands,9,9,0
5350012.03,Harbourfront-CityPlace,9,9,0
5350012.04,Harbourfront-CityPlace,10,10,0
5350376.15,Tam O'Shanter-Sullivan,1,1,0
5350376.16,Tam O'Shanter-Sullivan,1,1,0
5350237.01,Willowridge-Martingrove-Richview,0,0,0
5350237.02,Willowridge-Martingrove-Richview,0,0,0
5350237.03,Willowridge-Martingrove-Richview,0,0,0
5350249.01,Mount Olive-Silverstone-Jamestown,0,0,0
5350260.01,Flemingdon Park,0,0,0
5350301.01,Henry Farm,1,1,0
5350304.01,Don Valley Village,0,0,0
5350304.02,Don Valley Village,1,1,0
5350304.03,Bayview Village,0,0,0
5350304.04,Don Valley Village,1,1,0
5350311.02,York University Heights,1,1,0
5350311.03,York University Heights,0,0,0
5350311.04,York University Heights,0,0,0
5350312.02,Glenfield-Jane Heights,1,1,0
5350312.03,Glenfield-Jane Heights,0,0,0
5350315.01,Humber Summit,0,0,0
5350315.02,Humber Summit,1,1,0
5350316.01,Black Creek,1,1,0
5350324.01,Bayview Woods-Steeles,1,1,0
5350324.02,Hillcrest Village,1,1,0
5350324.03,Hillcrest Village,0,0,0
5350375.01,L'Amoreaux West,1,1,0
5350375.02,Tam O'Shanter-Sullivan,0,0,0
5350375.03,Tam O'Shanter-Sullivan,1,1,0
5350376.01,East L'Amoreaux,1,1,0
5350376.02,East L'Amoreaux,1,1,0
5350322.01,Newtonbrook East,3,3,0
5350322.02,Newtonbrook East,1,1,0
5350378.25,Morningside Heights,0,0,0
5350378.26,Morningside Heights,0,0,0
5350378.27,Morningside Heights,0,0,0
5350378.28,Morningside Heights,0,0,0
5350355.05,Eglinton East,0,0,0
5350355.06,Eglinton East,1,1,0
5350337.01,Birchcliffe-Cliffside,0,0,0
5350337.02,Birchcliffe-Cliffside,0,0,0
5350260.06,Flemingdon Park,1,1,0
5350260.07,Victoria Village,0,0,0
5350183.01,Danforth East York,1,1,0
5350183.02,Danforth East York,1,1,0
5350028.01,South Riverdale,1,1,0
5350028.02,South Riverdale,1,1,0
5350063.03,Church-Wellesley,9,9,0
5350063.04,Church-Wellesley,11,11,0
5350065.01,North St.James Town,4,8,4
5350050.01,High Park-Swansea,0,0,0
5350097.01,Junction-Wallace Emerson,0,6,6
5350065.02,North St.James Town,3,3,0
5350128.02,South Eglinton-Davisville,4,4,0
5350156.01,Rockcliffe-Smythe,2,2,0
5350156.02,Rockcliffe-Smythe,1,1,0
5350169.01,Briar Hill-Belgravia,1,1,0
5350169.02,Briar Hill-Belgravia,0,0,0
5350175.01,Weston,1,1,0
5350175.02,Weston,1,1,0
5350184.01,Danforth East York,2,3,1
5350184.02,Old East York,2,2,0
5350185.01,Broadview North,2,2,0
5350185.02,Broadview North,2,3,1
5350190.01,Taylor-Massey,0,1,1
5350190.02,O'Connor-Parkview,0,0,0
5350221.01,Markland Wood,0,0,0
5350221.02,Etobicoke West Mall,0,0,0
5350222.01,Islington,0,0,0
5350222.02,Islington,0,0,0
5350230.01,Edenbridge-Humber Valley,0,0,0
5350230.02,Edenbridge-Humber Valley,0,0,0
5350235.01,Eringate-Centennial-West Deane,0,0,0
5350235.02,Eringate-Centennial-West Deane,0,0,0
5350236.01,Etobicoke West Mall,0,0,0
5350236.02,Eringate-Centennial-West Deane,0,0,0
5350238.01,Willowridge-Martingrove-Richview,0,0,0
5350238.02,Kingsview Village-The Westway,0,0,0
5350240.01,Willowridge-Martingrove-Richview,0,0,0
5350240.02,Humber Heights-Westmount,0,0,0
5350243.01,Kingsview Village-The Westway,0,0,0
5350243.02,Kingsview Village-The Westway,0,0,0
5350063.05,Church-Wellesley,10,11,1
5350248.02,Mount Olive-Silverstone-Jamestown,1,1,0
5350250.01,Thistletown-Beaumond Heights,0,0,0
5350250.02,Thistletown-Beaumond Heights,0,0,0
5350262.01,Victoria Village,0,0,0
5350262.02,Victoria Village,0,0,0
5350270.01,Fenside-Parkwoods,0,0,0
5350270.02,Parkwoods-O'Connor Hills,0,0,0
5350273.01,St.Andrew-Windfields,1,1,0
5350273.02,St.Andrew-Windfields,0,0,0
5350276.01,Bedford Park-Nortown,1,1,0
5350276.02,Bedford Park-Nortown,1,1,0
5350279.01,Yorkdale-Glen Park,0,0,0
5350279.02,Yorkdale-Glen Park,0,0,0
5350283.01,Rustic,0,0,0
5350283.02,Rustic,0,0,0
5350287.02,Englemount-Lawrence,1,1,0
5350294.01,Oakdale-Beverley Heights,1,1,0
5350294.02,Glenfield-Jane Heights,0,0,0
5350297.01,Bathurst Manor,1,1,0
5350297.02,Clanton Park,0,0,0
5350302.01,Pleasant View,0,0,0
5350302.02,Pleasant View,0,0,0
5350304.05,Don Valley Village,1,1,0
5350304.06,Don Valley Village,0,0,0
5350308.02,Willowdale West,2,2,0
5350312.04,Glenfield-Jane Heights,1,1,0
5350063.06,Church-Wellesley,12,12,0
5350317.02,Westminster-Branson,1,1,0
5350320.01,Newtonbrook West,1,1,0
5350320.02,Newtonbrook West,1,1,0
5350323.01,Bayview Woods-Steeles,1,1,0
5350323.02,Bayview Woods-Steeles,0,0,0
5350128.05,South Eglinton-Davisville,2,2,0
5350331.01,Guildwood,0,0,0
5350128.06,South Eglinton-Davisville,4,4,0
5350196.01,Leaside-Bennington,5,5,0
5350341.02,Oakridge,1,1,0
5350346.01,Kennedy Park,0,0,0
5350346.02,Ionview,0,0,0
5350196.02,Leaside-Bennington,2,2,0
5350353.02,Bendale South,1,1,0
5350195.01,Leaside-Bennington,4,4,0
5350355.02,Eglinton East,0,0,0
5350357.01,Golfdale-Cedarbrae-Woburn,1,1,0
5350357.02,Golfdale-Cedarbrae-Woburn,0,0,0
5350358.01,West Hill,0,0,0
5350358.02,West Hill,0,0,0
5350358.03,West Hill,2,2,0
5350195.02,Leaside-Bennington,4,4,0
5350363.02,Morningside,1,1,0
5350139.01,Lawrence Park South,1,1,0
5350364.01,Morningside,1,1,0
5350364.02,Golfdale-Cedarbrae-Woburn,1,1,0
5350367.01,Woburn North,2,2,0
5350367.02,Woburn North,1,1,0
5350370.01,Dorset Park,1,1,0
5350370.02,Dorset Park,1,1,0
5350370.03,Dorset Park,0,0,0
5350374.01,Tam O'Shanter-Sullivan,0,0,0
