CTUID,Neighbourhood,Timeframe,Total Destinations
5350043.00,Trinity-Bellwoods,total_destinations_within_30_mins_after,5
5350043.00,Trinity-Bellwoods,total_destinations_within_30_mins_before,5
5350043.00,Trinity-Bellwoods,total_destinations_within_30_mins_diff,0
5350044.01,Little Portugal,total_destinations_within_30_mins_after,4
5350044.01,Little Portugal,total_destinations_within_30_mins_before,4
5350044.01,Little Portugal,total_destinations_within_30_mins_diff,0
5350044.02,Little Portugal,total_destinations_within_30_mins_after,4
5350044.02,Little Portugal,total_destinations_within_30_mins_before,4
5350044.02,Little Portugal,total_destinations_within_30_mins_diff,0
5350045.00,Little Portugal,total_destinations_within_30_mins_after,5
5350045.00,Little Portugal,total_destinations_within_30_mins_before,5
5350045.00,Little Portugal,total_destinations_within_30_mins_diff,0
5350046.00,Little Portugal,total_destinations_within_30_mins_after,4
5350046.00,Little Portugal,total_destinations_within_30_mins_before,4
5350046.00,Little Portugal,total_destinations_within_30_mins_diff,0
5350047.02,Roncesvalles,total_destinations_within_30_mins_after,3
5350047.02,Roncesvalles,total_destinations_within_30_mins_before,3
5350047.02,Roncesvalles,total_destinations_within_30_mins_diff,0
5350047.03,Roncesvalles,total_destinations_within_30_mins_after,1
5350047.03,Roncesvalles,total_destinations_within_30_mins_before,1
5350047.03,Roncesvalles,total_destinations_within_30_mins_diff,0
5350047.04,Roncesvalles,total_destinations_within_30_mins_after,3
5350047.04,Roncesvalles,total_destinations_within_30_mins_before,3
5350047.04,Roncesvalles,total_destinations_within_30_mins_diff,0
5350048.00,Roncesvalles,total_destinations_within_30_mins_after,3
5350048.00,Roncesvalles,total_destinations_within_30_mins_before,3
5350048.00,Roncesvalles,total_destinations_within_30_mins_diff,0
5350049.00,High Park-Swansea,total_destinations_within_30_mins_after,3
5350049.00,High Park-Swansea,total_destinations_within_30_mins_before,3
5350049.00,High Park-Swansea,total_destinations_within_30_mins_diff,0
5350050.01,High Park-Swansea,total_destinations_within_30_mins_after,0
5350050.01,High Park-Swansea,total_destinations_within_30_mins_before,0
5350050.01,High Park-Swansea,total_destinations_within_30_mins_diff,0
5350050.03,High Park-Swansea,total_destinations_within_30_mins_after,1
5350050.03,High Park-Swansea,total_destinations_within_30_mins_before,1
5350050.03,High Park-Swansea,total_destinations_within_30_mins_diff,0
5350050.04,High Park-Swansea,total_destinations_within_30_mins_after,2
5350050.04,High Park-Swansea,total_destinations_within_30_mins_before,2
5350050.04,High Park-Swansea,total_destinations_within_30_mins_diff,0
5350051.00,High Park-Swansea,total_destinations_within_30_mins_after,2
5350051.00,High Park-Swansea,total_destinations_within_30_mins_before,2
5350051.00,High Park-Swansea,total_destinations_within_30_mins_diff,0
5350052.00,Roncesvalles,total_destinations_within_30_mins_after,4
5350052.00,Roncesvalles,total_destinations_within_30_mins_before,4
5350052.00,Roncesvalles,total_destinations_within_30_mins_diff,0
5350053.00,Dufferin Grove,total_destinations_within_30_mins_after,7
5350053.00,Dufferin Grove,total_destinations_within_30_mins_before,4
5350053.00,Dufferin Grove,total_destinations_within_30_mins_diff,3
5350054.00,Dufferin Grove,total_destinations_within_30_mins_after,9
5350054.00,Dufferin Grove,total_destinations_within_30_mins_before,4
5350054.00,Dufferin Grove,total_destinations_within_30_mins_diff,5
5350055.00,Palmerston-Little Italy,total_destinations_within_30_mins_after,4
5350055.00,Palmerston-Little Italy,total_destinations_within_30_mins_before,2
5350055.00,Palmerston-Little Italy,total_destinations_within_30_mins_diff,2
5350056.00,Palmerston-Little Italy,total_destinations_within_30_mins_after,8
5350056.00,Palmerston-Little Italy,total_destinations_within_30_mins_before,5
5350056.00,Palmerston-Little Italy,total_destinations_within_30_mins_diff,3
5350057.00,Palmerston-Little Italy,total_destinations_within_30_mins_after,11
5350057.00,Palmerston-Little Italy,total_destinations_within_30_mins_before,3
5350057.00,Palmerston-Little Italy,total_destinations_within_30_mins_diff,8
5350058.00,Palmerston-Little Italy,total_destinations_within_30_mins_after,9
5350058.00,Palmerston-Little Italy,total_destinations_within_30_mins_before,9
5350058.00,Palmerston-Little Italy,total_destinations_within_30_mins_diff,0
5350059.00,University,total_destinations_within_30_mins_after,12
