CTUID,Neighbourhoods,Metric_Type,Metric_Name,Travel_Time_Threshold,Category,Before_After_Benefit,Value
5350034.02,Downtown Yonge East,Social,Number of Destinations Accessible,30.0,Hospital,after,12.0
5350034.02,Downtown Yonge East,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350035.00,Yonge-Bay Corridor,Social,Number of Destinations Accessible,30.0,Hospital,before,11.0
5350035.00,Yonge-Bay Corridor,Social,Number of Destinations Accessible,30.0,Hospital,after,11.0
5350035.00,Yonge-Bay Corridor,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350036.00,Kensington-Chinatown,Social,Number of Destinations Accessible,30.0,Hospital,before,12.0
5350036.00,Kensington-Chinatown,Social,Number of Destinations Accessible,30.0,Hospital,after,12.0
5350036.00,Kensington-Chinatown,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350037.00,Kensington-Chinatown,Social,Number of Destinations Accessible,30.0,Hospital,before,12.0
5350037.00,Kensington-Chinatown,Social,Number of Destinations Accessible,30.0,Hospital,after,12.0
5350037.00,Kensington-Chinatown,Social,Number of Destinations Accessible,30.0,Hospital,benefit,0.0
5350038.00,Kensington-Chinatown,Social,Number of Destinations Accessible,30.0,Hospital,before,10.0
5350038.00,Kensington-Chinatown,Social,Number of Destinations Accessible,30.0,Hospital,after,11.0
5350038.00,Kensington-Chinatown,Social,Number of Destinations Accessible,30.0,Hospital,benefit,1.0
5350039.00,Kensington-Chinatown,Social,Number of Destinations Accessible,30.0,Hospital,before,9.0
5350039.00,Kensington-Chinatown,Social,Number of Destinations Accessible,30.0,Hospital,after,10.0
5350039.00,Kensington-Chinatown,Social,Number of Destinations Accessible,30.0,Hospital,benefit,1.0
5350040.00,Trinity-Bellwoods,Social,Number of Destinations Accessible,30.0,Hospital,before,6.0
5350040.00,Trinity-Bellwoods,Social,Number of Destinations Accessible,30.0,Hospital,after,7.0
5350040.00,Trinity-Bellwoods,Social,Number of Destinations Accessible,30.0,Hospital,benefit,1.0
5350041.00,Trinity-Bellwoods,Social,Number of Destinations Accessible,30.0,Hospital,before,9.0
