CTUID,Neighbourhoods,Metric_Type,Metric_Name,Travel_Time_Threshold,Category,Before_After_Benefit,Value
5350020.0,The Beaches,Economic,Travel Time to Key Work Locations,68.0,Scarborough Centre,before,68.0
5350021.0,The Beaches,Economic,Travel Time to Key Work Locations,60.0,Downtown Toronto,before,60.0
5350021.0,The Beaches,Economic,Travel Time to Key Work Locations,75.0,Etobicoke Centre,before,75.0
5350021.0,The Beaches,Economic,Travel Time to Key Work Locations,56.0,Yonge-Eglinton Centre,before,56.0
5350021.0,The Beaches,Economic,Travel Time to Key Work Locations,71.0,North York Centre,before,71.0
5350021.0,The Beaches,Economic,Travel Time to Key Work Locations,67.0,Scarborough Centre,before,67.0
5350022.0,The Beaches,Economic,Travel Time to Key Work Locations,64.0,Downtown Toronto,before,64.0
5350022.0,The Beaches,Economic,Travel Time to Key Work Locations,78.0,Etobicoke Centre,before,78.0
5350022.0,The Beaches,Economic,Travel Time to Key Work Locations,60.0,Yonge-Eglinton Centre,before,60.0
5350022.0,The Beaches,Economic,Travel Time to Key Work Locations,74.0,North York Centre,before,74.0
5350022.0,The Beaches,Economic,Travel Time to Key Work Locations,70.0,Scarborough Centre,before,70.0
5350023.0,The Beaches,Economic,Travel Time to Key Work Locations,55.0,Downtown Toronto,before,55.0
5350023.0,The Beaches,Economic,Travel Time to Key Work Locations,68.0,Etobicoke Centre,before,68.0
5350023.0,The Beaches,Economic,Travel Time to Key Work Locations,50.0,Yonge-Eglinton Centre,before,50.0
5350023.0,The Beaches,Economic,Travel Time to Key Work Locations,64.0,North York Centre,before,64.0
5350023.0,The Beaches,Economic,Travel Time to Key Work Locations,60.0,Scarborough Centre,before,60.0
5350024.0,The Beaches,Economic,Travel Time to Key Work Locations,56.0,Downtown Toronto,before,56.0
5350024.0,The Beaches,Economic,Travel Time to Key Work Locations,72.0,Etobicoke Centre,before,72.0
5350024.0,The Beaches,Economic,Travel Time to Key Work Locations,53.0,Yonge-Eglinton Centre,before,53.0
5350024.0,The Beaches,Economic,Travel Time to Key Work Locations,67.0,North York Centre,before,67.0
5350024.0,The Beaches,Economic,Travel Time to Key Work Locations,65.0,Scarborough Centre,before,65.0
5350025.0,Woodbine Corridor,Economic,Travel Time to Key Work Locations,56.0,Downtown Toronto,before,56.0
5350025.0,Woodbine Corridor,Economic,Travel Time to Key Work Locations,71.0,Etobicoke Centre,before,71.0
5350025.0,Woodbine Corridor,Economic,Travel Time to Key Work Locations,53.0,Yonge-Eglinton Centre,before,53.0
5350025.0,Woodbine Corridor,Economic,Travel Time to Key Work Locations,67.0,North York Centre,before,67.0
5350025.0,Woodbine Corridor,Economic,Travel Time to Key Work Locations,69.0,Scarborough Centre,before,69.0
5350026.0,Greenwood-Coxwell,Economic,Travel Time to Key Work Locations,50.0,Downtown Toronto,before,50.0
5350026.0,Greenwood-Coxwell,Economic,Travel Time to Key Work Locations,68.0,Etobicoke Centre,before,68.0
5350026.0,Greenwood-Coxwell,Economic,Travel Time to Key Work Locations,50.0,Yonge-Eglinton Centre,before,50.0
5350026.0,Greenwood-Coxwell,Economic,Travel Time to Key Work Locations,64.0,North York Centre,before,64.0
5350026.0,Greenwood-Coxwell,Economic,Travel Time to Key Work Locations,68.0,Scarborough Centre,before,68.0
5350027.0,South Riverdale,Economic,Travel Time to Key Work Locations,48.0,Downtown Toronto,before,48.0
5350027.0,South Riverdale,Economic,Travel Time to Key Work Locations,66.0,Etobicoke Centre,before,66.0
5350027.0,South Riverdale,Economic,Travel Time to Key Work Locations,48.0,Yonge-Eglinton Centre,before,48.0
5350027.0,South Riverdale,Economic,Travel Time to Key Work Locations,62.0,North York Centre,before,62.0
5350027.0,South Riverdale,Economic,Travel Time to Key Work Locations,68.0,Scarborough Centre,before,68.0
5350029.0,South Riverdale,Economic,Travel Time to Key Work Locations,31.0,Downtown Toronto,before,31.0
5350029.0,South Riverdale,Economic,Travel Time to Key Work Locations,58.0,Etobicoke Centre,before,58.0
5350029.0,South Riverdale,Economic,Travel Time to Key Work Locations,38.0,Yonge-Eglinton Centre,before,38.0
5350029.0,South Riverdale,Economic,Travel Time to Key Work Locations,52.0,North York Centre,before,52.0
5350029.0,South Riverdale,Economic,Travel Time to Key Work Locations,67.0,Scarborough Centre,before,67.0
5350030.0,Regent Park,Economic,Travel Time to Key Work Locations,29.0,Downtown Toronto,before,29.0
5350030.0,Regent Park,Economic,Travel Time to Key Work Locations,65.0,Etobicoke Centre,before,65.0
5350030.0,Regent Park,Economic,Travel Time to Key Work Locations,38.0,Yonge-Eglinton Centre,before,38.0
5350030.0,Regent Park,Economic,Travel Time to Key Work Locations,53.0,North York Centre,before,53.0
5350030.0,Regent Park,Economic,Travel Time to Key Work Locations,76.0,Scarborough Centre,before,76.0
5350031.0,Regent Park,Economic,Travel Time to Key Work Locations,28.0,Downtown Toronto,before,28.0
5350031.0,Regent Park,Economic,Travel Time to Key Work Locations,62.0,Etobicoke Centre,before,62.0
5350031.0,Regent Park,Economic,Travel Time to Key Work Locations,34.0,Yonge-Eglinton Centre,before,34.0
5350031.0,Regent Park,Economic,Travel Time to Key Work Locations,49.0,North York Centre,before,49.0
5350031.0,Regent Park,Economic,Travel Time to Key Work Locations,73.0,Scarborough Centre,before,73.0
5350032.0,Moss Park,Economic,Travel Time to Key Work Locations,25.0,Downtown Toronto,before,25.0
5350032.0,Moss Park,Economic,Travel Time to Key Work Locations,57.0,Etobicoke Centre,before,57.0
5350032.0,Moss Park,Economic,Travel Time to Key Work Locations,31.0,Yonge-Eglinton Centre,before,31.0
5350032.0,Moss Park,Economic,Travel Time to Key Work Locations,46.0,North York Centre,before,46.0
5350032.0,Moss Park,Economic,Travel Time to Key Work Locations,73.0,Scarborough Centre,before,73.0
5350033.0,Moss Park,Economic,Travel Time to Key Work Locations,24.0,Downtown Toronto,before,24.0
5350033.0,Moss Park,Economic,Travel Time to Key Work Locations,62.0,Etobicoke Centre,before,62.0
5350033.0,Moss Park,Economic,Travel Time to Key Work Locations,35.0,Yonge-Eglinton Centre,before,35.0
5350033.0,Moss Park,Economic,Travel Time to Key Work Locations,50.0,North York Centre,before,50.0
5350033.0,Moss Park,Economic,Travel Time to Key Work Locations,77.0,Scarborough Centre,before,77.0
5350035.0,Yonge-Bay Corridor,Economic,Travel Time to Key Work Locations,8.0,Downtown Toronto,before,8.0
5350035.0,Yonge-Bay Corridor,Economic,Travel Time to Key Work Locations,46.0,Etobicoke Centre,before,46.0
5350035.0,Yonge-Bay Corridor,Economic,Travel Time to Key Work Locations,22.0,Yonge-Eglinton Centre,before,22.0
5350035.0,Yonge-Bay Corridor,Economic,Travel Time to Key Work Locations,37.0,North York Centre,before,37.0
5350035.0,Yonge-Bay Corridor,Economic,Travel Time to Key Work Locations,71.0,Scarborough Centre,before,71.0
5350036.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,21.0,Downtown Toronto,before,21.0
5350036.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,52.0,Etobicoke Centre,before,52.0
5350036.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,34.0,Yonge-Eglinton Centre,before,34.0
5350036.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,49.0,North York Centre,before,49.0
5350036.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,82.0,Scarborough Centre,before,82.0
5350037.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,21.0,Downtown Toronto,before,21.0
5350037.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,51.0,Etobicoke Centre,before,51.0
5350037.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,32.0,Yonge-Eglinton Centre,before,32.0
5350037.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,47.0,North York Centre,before,47.0
5350037.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,80.0,Scarborough Centre,before,80.0
5350038.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,27.0,Downtown Toronto,before,27.0
5350038.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,52.0,Etobicoke Centre,before,52.0
5350038.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,37.0,Yonge-Eglinton Centre,before,37.0
5350038.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,51.0,North York Centre,before,51.0
5350038.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,80.0,Scarborough Centre,before,80.0
5350039.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,26.0,Downtown Toronto,before,26.0
5350039.0,Kensington-Chinatown,Economic,Travel Time to Key Work Locations,55.0,Etobicoke Centre,before,55.0
