CTUID,AREA_NAME
5350183.01,Danforth East York
5350183.02,Danforth East York
5350028.01,South Riverdale
5350028.02,South Riverdale
5350063.03,Church-Wellesley
5350063.04,Church-Wellesley
5350065.01,North St.James Town
5350050.01,High Park-Swansea
5350097.01,Junction-Wallace Emerson
5350065.02,North St.James Town
5350128.02,South Eglinton-Davisville
5350156.01,Rockcliffe-Smythe
5350156.02,Rockcliffe-Smythe
5350169.01,Briar Hill-Belgravia
5350169.02,Briar Hill-Belgravia
5350175.01,Weston
5350175.02,Weston
5350184.01,Danforth East York
5350184.02,Old East York
5350185.01,Broadview North
5350185.02,Broadview North
5350190.01,Taylor-Massey
5350190.02,O'Connor-Parkview
5350221.01,Markland Wood
5350221.02,Etobicoke West Mall
5350222.01,Islington
5350222.02,Islington
5350230.01,Edenbridge-Humber Valley
5350230.02,Edenbridge-Humber Valley
5350235.01,Eringate-Centennial-West Deane
5350235.02,Eringate-Centennial-West Deane
5350236.01,Etobicoke West Mall
5350236.02,Eringate-Centennial-West Deane
5350238.01,Willowridge-Martingrove-Richview
5350238.02,Kingsview Village-The Westway
5350240.01,Willowridge-Martingrove-Richview
5350240.02,Humber Heights-Westmount
5350243.01,Kingsview Village-The Westway
5350243.02,Kingsview Village-The Westway
5350063.05,Church-Wellesley
5350248.02,Mount Olive-Silverstone-Jamestown
5350250.01,Thistletown-Beaumond Heights
5350250.02,Thistletown-Beaumond Heights
5350262.01,Victoria Village
5350262.02,Victoria Village
5350270.01,Fenside-Parkwoods
5350270.02,Parkwoods-O'Connor Hills
5350273.01,St.Andrew-Windfields
5350273.02,St.Andrew-Windfields
5350276.01,Bedford Park-Nortown
5350276.02,Bedford Park-Nortown
5350279.01,Yorkdale-Glen Park
5350279.02,Yorkdale-Glen Park
5350283.01,Rustic
5350283.02,Rustic
5350287.02,Englemount-Lawrence
5350294.01,Oakdale-Beverley Heights
5350294.02,Glenfield-Jane Heights
5350297.01,Bathurst Manor
5350297.02,Clanton Park
5350302.01,Pleasant View
5350302.02,Pleasant View
5350304.05,Don Valley Village
5350304.06,Don Valley Village
5350308.02,Willowdale West
5350312.04,Glenfield-Jane Heights
5350063.06,Church-Wellesley
5350317.02,Westminster-Branson
5350320.01,Newtonbrook West
5350320.02,Newtonbrook West
5350323.01,Bayview Woods-Steeles
5350323.02,Bayview Woods-Steeles
5350128.05,South Eglinton-Davisville
5350331.01,Guildwood
5350128.06,South Eglinton-Davisville
5350196.01,Leaside-Bennington
5350341.02,Oakridge
5350346.01,Kennedy Park
5350346.02,Ionview
5350196.02,Leaside-Bennington
5350353.02,Bendale South
5350195.01,Leaside-Bennington
5350355.02,Eglinton East
